sensor0;sensor1;sensor2;sensor3;sensor4;left;up;right
5.0;1.0566298961639404;1.2589664459228516;1.4610893726348877;0.8946805000305176;0.0;0.0;1.0
5.0;1.0604469776153564;1.1855392456054688;1.302871584892273;0.9569752216339111;0.0;1.0;0.0
5.0;1.1038718223571777;1.106273889541626;1.2097526788711548;0.9928086400032043;0.0;1.0;0.0
5.0;1.1316245794296265;1.0633078813552856;1.1468279361724854;1.0306785106658936;0.0;1.0;0.0
5.0;1.1420972347259521;1.0574709177017212;1.125852346420288;1.0718395709991455;0.0;1.0;0.0
5.0;1.1429948806762695;1.0600831508636475;1.1456042528152466;1.0407716035842896;0.0;1.0;0.0
5.0;1.134555459022522;1.042255163192749;1.1457408666610718;1.0602701902389526;1.0;0.0;0.0
5.0;1.1417994499206543;1.0443460941314697;1.126293420791626;1.0517091751098633;0.0;1.0;0.0
5.0;1.1310697793960571;1.0653895139694214;1.149681806564331;1.0512540340423584;0.0;1.0;0.0
5.0;1.1453593969345093;1.0676827430725098;1.1529760360717773;1.0531136989593506;0.0;1.0;0.0
5.0;1.1445250511169434;1.063031554222107;1.1473506689071655;1.0543758869171143;0.0;1.0;0.0
5.0;1.1560735702514648;1.0485960245132446;1.128008246421814;1.0510766506195068;0.0;1.0;0.0
5.0;1.128458023071289;1.0627039670944214;1.1344298124313354;1.0576428174972534;0.0;1.0;0.0
5.0;1.1448051929473877;1.077063798904419;1.148638367652893;1.0430186986923218;0.0;1.0;0.0
5.0;1.1471421718597412;1.067348599433899;1.1313408613204956;1.0521883964538574;0.0;1.0;0.0
5.0;1.1504827737808228;1.0490002632141113;1.146872639656067;1.0458751916885376;0.0;1.0;0.0
5.0;1.14536714553833;1.0606547594070435;1.1347248554229736;1.0411655902862549;1.0;0.0;0.0
5.0;1.1584057807922363;1.0416600704193115;1.1315593719482422;1.0468777418136597;1.0;0.0;0.0
5.0;1.1343084573745728;1.0519700050354004;1.1387723684310913;1.0514055490493774;1.0;0.0;0.0
5.0;1.1568152904510498;1.0549025535583496;1.1457405090332031;1.0579440593719482;0.0;1.0;0.0
5.0;1.1201108694076538;1.06001877784729;1.1750551462173462;1.0300636291503906;0.0;1.0;0.0
5.0;1.1068414449691772;1.0964409112930298;1.1775212287902832;1.0175257921218872;0.0;1.0;0.0
5.0;1.0830355882644653;1.1195316314697266;1.1744064092636108;1.022331953048706;0.0;1.0;0.0
5.0;1.0965956449508667;1.1319255828857422;1.1663819551467896;1.0494476556777954;0.0;1.0;0.0
5.0;1.0778508186340332;1.1402908563613892;1.1876304149627686;1.0443115234375;0.0;1.0;0.0
5.0;1.0562665462493896;1.1638025045394897;1.1712877750396729;1.0449707508087158;0.0;1.0;0.0
5.0;1.060626745223999;1.1593635082244873;1.1411993503570557;1.0515228509902954;0.0;1.0;0.0
5.0;1.0611436367034912;1.165053129196167;1.148984432220459;1.0560227632522583;0.0;1.0;0.0
5.0;1.059844732284546;1.1829742193222046;1.1597821712493896;1.0641800165176392;0.0;1.0;0.0
5.0;1.0351899862289429;1.186535120010376;1.1191753149032593;1.078610897064209;0.0;1.0;0.0
5.0;1.0178531408309937;1.2107822895050049;1.1215333938598633;1.0738810300827026;0.0;1.0;0.0
5.0;0.9992470741271973;1.2274624109268188;1.1378121376037598;1.089073896408081;0.0;1.0;0.0
5.0;0.9984913468360901;1.2340126037597656;1.0922207832336426;1.0838520526885986;0.0;1.0;0.0
5.0;0.9781907796859741;1.2508538961410522;1.0951063632965088;1.1027920246124268;0.0;1.0;0.0
5.0;0.9913694262504578;1.2567846775054932;1.0874106884002686;1.1069765090942383;0.0;1.0;0.0
5.0;0.955366849899292;1.2678035497665405;1.0919969081878662;1.1204510927200317;0.0;1.0;0.0
5.0;0.9386178255081177;1.3028334379196167;1.0698778629302979;1.1333001852035522;0.0;1.0;0.0
5.0;0.9305172562599182;1.2944228649139404;1.0463593006134033;1.146558165550232;0.0;1.0;0.0
5.0;0.9189328551292419;1.3157405853271484;1.0441311597824097;1.1568061113357544;0.0;1.0;0.0
5.0;0.9054828882217407;1.3318181037902832;1.0311208963394165;1.1625386476516724;0.0;1.0;0.0
5.0;0.8875798583030701;1.343658447265625;1.0152865648269653;1.175743579864502;0.0;1.0;0.0
